"","countries","new_domexp","anthonyMan","ManualExtrap","AnthonyNeeds","ExtrapExpRish","ManualExtrapRishman","RishmanNeeds","EmExtrapExp","Wise_Manual_Exp","EmNeeds"
"16","Iceland",NA,198432676.991081,198432676.991081,301866668.560456,126824128.920312,198432676.991081,111163326.996768,43008685.3911726,43008685.3911726,131187843.471951
"17","Ireland",NA,398724246.279273,398724246.279273,587715565.586619,406463093.004858,398724246.279273,360087035.205706,478315516.059992,478315516.059992,718518453.581482
"18","Italy",1.9e+09,470707725.523176,1.9e+09,2609627066.92372,326777478.382432,1.9e+09,281259488.047635,631145976.11344,1.9e+09,924722448.149173
"19","Japan",2.3e+09,3366680219.46734,2.3e+09,3131841297.47139,1780583438.30529,2.3e+09,1843809116.83114,3353305024.95898,2.3e+09,4597550950.55785
"20","Latvia",8668000,68586386.5319927,8667999.99999999,15192178.1102016,50963745.2572527,8667999.99999999,42273067.3968163,36379561.0060954,8668000,122243605.993304
"21","Lithuania",NA,91519507.4977755,91519507.4977755,144184134.501793,85227939.7340735,91519507.4977755,74167217.4652619,65422788.0844107,65422788.0844107,161429704.344318
"22","Luxembourg",38481000,30757375.7027439,38480999.9999999,63047631.4353503,54758577.9573473,38480999.9999999,62141272.5356036,122743137.214604,38481000,238768246.389712
"23","Malta",21490000,4003335.48410492,21490000,36149518.5662105,7710292.20733044,21490000,7536357.0084049,1934688.70640394,21490000,75769426.3167756
"24","Netherlands",2.3e+09,473288790.255132,2.3e+09,3131841297.47139,655839750.840838,2.3e+09,521080246.283412,580703416.054265,2.3e+09,856663650.336322
"25","New Zealand",813442000,1479300004.33504,813442000.000001,1160955161.48408,2192001605.21372,813442000.000001,2770437061.33731,1740576997.50407,813442000,2421604079.12807
"26","Norway",NA,1726379546.95472,1726379546.95472,2381461071.65482,709457439.569909,1726379546.95472,728423445.746002,319601384.462571,319601384.462571,504376011.569039
"27","Poland",387467000,315081555.166612,387467000,571862787.306543,332423470.39431,387467000,384792339.84554,271396818.737504,387467000,439336790.948796
"28","Portugal",NA,234566533.217474,234566533.217474,354145657.112485,190612067.117628,234566533.217474,186119091.245279,180998955.875279,180998955.875279,317368955.374303
"29","Romania",NA,113829190.664971,113829190.664971,177571124.808327,123774020.004454,113829190.664971,131313114.516324,111829756.152273,111829756.152273,224043545.773715
"30","Slovak Republic",52519000,56468082.923985,52519000,84845660.3806277,60566104.0848484,52519000,66852144.2356599,66584049.8365995,52519000,162996517.739738
"31","Slovenia",13057000,27893803.0387301,13057000,22464512.2573516,36320215.6440951,13057000,49357155.966126,44969117.530166,13057000,133832924.419806
"32","Spain",2.1e+09,852059482.607093,2.1e+09,2871297430.73068,734193740.469631,2.1e+09,800506162.765666,1097404951.40646,2.1e+09,1553814732.33672
"33","Sweden",771341000,1729935897.4333,771341000,1103517413.24257,810784309.167065,771341000,569656004.20568,370061207.949022,771341000,572458101.778334
"34","Switzerland",944710000,565696118.433063,944709999.999999,1339209981.20103,470329274.519045,944709999.999999,339718806.69426,597214608.471033,944710000,878941106.219283
"35","United Kingdom",1e+09,1434349333.86979,999999999.999999,1413946291.29605,2082738536.0673,999999999.999999,2226714697.34333,2972109125.73841,1e+09,4083228628.26284
"36","United States",NA,33752226873.0701,33752226873.0701,40701461466.7759,32705452203.5155,33752226873.0701,38016203302.5261,122673167084.013,122673167084.013,165587920142.917
"37","Algeria",NA,143976734.207075,143976734.207075,222226472.289468,53729058.5664161,143976734.207075,110616514.826421,18834836.6885983,18834836.6885983,98571674.1245414
"38","Antigua and Barbuda",NA,1300232.92732384,1300232.92732384,2483060.57984027,838725.782413796,1300232.92732384,691035.064812336,5085639.56594475,5085639.56594475,80020795.1453231
"39","Argentina",NA,541833354.603724,541833354.603724,787654830.339805,469575172.471291,541833354.603724,576443327.696793,317566251.129265,317566251.129265,501630141.258508
"40","Bahamas",NA,16498241.1272494,16498241.1272494,28086402.4119237,7340470.72244193,16498241.1272494,7070435.72056112,11108902.2225943,11108902.2225943,88147583.6120802
"41","Bahrain",NA,3250121.02559822,3250121.02559822,5954833.07455864,4211491.75460798,3250121.02559822,3440450.47189797,448478.780352138,448478.780352138,73764181.921052
"42","Barbados",44000,3309314.75774877,44000,97933.8567574123,3741559.60417425,44000,2649839.12747898,5414766.93522647,44000,80464864.8565817
"43","Belize",8511500,2926064.08998387,8511500.00000001,14930183.3543768,1725832.76792438,8511500.00000001,2187834.49915565,2635424.67968812,8511500,76714882.8493146
"44","Bolivia",384942000,55028174.2683801,384942000,568304169.539175,56955491.0228086,384942000,86229953.9230642,25045432.9966727,384942000,106951219.451595
"45","Botswana",NA,136103001.24161,136103001.24161,210608504.759439,173930205.554108,136103001.24161,204729264.217736,40573009.7156771,40573009.7156771,127901547.967882
"46","Brazil",NA,3864333261.50617,3864333261.50617,5139892287.79326,5179387231.9076,3864333261.50617,12047598406.2627,14557853366.2293,14557853366.2293,19715104247.7784
